# From "SJB Video v1" https://www.youtube.com/watch?v=lJOx8aYKR0A&list=PL_Ie-VaOWw_44fPSw4K_Y9tFyae5pGwtr
あい,愛,ai
えき,駅,eki
いえ,家,ie
ここ,ここ,koko
うえ,上,ue
かお,顔,kao
あした,明日,ashita
すし,寿司,sushi
たかい,たかい,takai
ちかてつ,地下鉄,chikatetsu
そと,外,soto
あさ,朝,asa
ひと,人,hito
にく,肉,niku
はし,橋,hashi
さかな,魚,sakana
おかね,お金,okane
ふく,服,fuku
ゆめ,夢,yume
やま,山,yama
むかし,昔,mukashi
もも,もも,momo
みち,道,michi
よさこい,よさこい,yosakoi
わたし,私,watashi
れきし,歴史,rekishi
ろく,6,roku
おわり,終わり,owari
かれ,彼,kare
さよなら,さよなら,sayonara
って,切手,kitte
きっぷ,切符,kippu
ざっし,雑誌,zasshi
がっか,学科,gakka
おっと,夫,otto
いっこ,一戸,ikko
ごはん,ご飯,gohan
まんが,漫画,manga
じかん,時間,jikan
てんぷら,天ぷら,tenpura
かんじ,漢字,kanzi
#てんいん,店員,tenin  # exclude due to difficulty in recognizing
おかあさん,お母さん,okāsan
おとうさん,お父さん,otōsan
おにいさん,お兄さん,onīsan
おねえさん,お姉さん,onēsan
いもうと,妹,imōto
おとうと,弟,otōto
